quarter,rank,brand,list_size,source_url,source_note,year,qtr,percentile_rank,source_status,brand_qtr_baseline,adj_heat,parent,ticker_local
2018Q1,1,Balenciaga,10,https://www.refinery29.com/en-us/2018/04/197258/most-popular-fashion-2018,Refinery29: 'Top Brands & Products Of 2018 So Far: The Lyst Index Q1',2018,1,0.9,ok,0.8833333333333333,0.01666666666666672,Kering,KER FP
2018Q1,2,Gucci,10,https://www.refinery29.com/en-us/2018/04/197258/most-popular-fashion-2018,Refinery29: 'Top Brands & Products Of 2018 So Far: The Lyst Index Q1',2018,1,0.8,ok,0.8333333333333334,-0.033333333333333326,Kering,KER FP
2018Q1,3,Vetements,10,https://www.refinery29.com/en-us/2018/04/197258/most-popular-fashion-2018,Refinery29: 'Top Brands & Products Of 2018 So Far: The Lyst Index Q1',2018,1,0.7,ok,0.5,0.19999999999999996,Vetements Group (private),
2018Q1,4,Off-White,10,https://www.refinery29.com/en-us/2018/04/197258/most-popular-fashion-2018,Refinery29: 'Top Brands & Products Of 2018 So Far: The Lyst Index Q1',2018,1,0.6,ok,0.8333333333333334,-0.2333333333333334,New Guards Group (private),
2018Q1,5,Stone Island,10,https://www.refinery29.com/en-us/2018/04/197258/most-popular-fashion-2018,Refinery29: 'Top Brands & Products Of 2018 So Far: The Lyst Index Q1',2018,1,0.5,ok,0.5166666666666667,-0.01666666666666672,Moncler SpA (since 2021),MONC IM
2018Q1,6,Givenchy,10,https://www.refinery29.com/en-us/2018/04/197258/most-popular-fashion-2018,Refinery29: 'Top Brands & Products Of 2018 So Far: The Lyst Index Q1',2018,1,0.4,ok,0.3333333333333333,0.06666666666666671,LVMH,MC FP
2018Q1,7,Moncler,10,https://www.refinery29.com/en-us/2018/04/197258/most-popular-fashion-2018,Refinery29: 'Top Brands & Products Of 2018 So Far: The Lyst Index Q1',2018,1,0.30000000000000004,ok,0.45,-0.14999999999999997,Moncler SpA,MONC IM
2018Q1,8,Dolce & Gabbana,10,https://www.refinery29.com/en-us/2018/04/197258/most-popular-fashion-2018,Refinery29: 'Top Brands & Products Of 2018 So Far: The Lyst Index Q1',2018,1,0.19999999999999996,ok,0.22499999999999998,-0.025000000000000022,,
2018Q1,9,Yeezy,10,https://www.refinery29.com/en-us/2018/04/197258/most-popular-fashion-2018,Refinery29: 'Top Brands & Products Of 2018 So Far: The Lyst Index Q1',2018,1,0.09999999999999998,ok,0.14999999999999997,-0.04999999999999999,Adidas partnership historically,ADS GR
2018Q1,10,Valentino,10,https://www.refinery29.com/en-us/2018/04/197258/most-popular-fashion-2018,Refinery29: 'Top Brands & Products Of 2018 So Far: The Lyst Index Q1',2018,1,0.0,ok,0.4666666666666666,-0.4666666666666666,Mayhoola (private),
