Quarter,Rank,Brand,Parent_Company,Ticker,QoQ_Change,Notes
Q1 2019,1,Off-White,,,,
Q1 2019,2,Gucci,,,,
Q1 2019,3,Balenciaga,,,,
Q1 2019,4,Valentino,,,,
Q1 2019,5,Fendi,,,,
Q1 2019,6,Prada,,,,
Q1 2019,7,Stone Island,,,,
Q1 2019,8,Versace,,,,
Q1 2019,9,Vetements,,,,
Q1 2019,10,Saint Laurent,,,,
Q1 2019,11,Nike,,,,
Q1 2019,12,Burberry,,,,
Q1 2019,13,Moncler,,,,
Q1 2019,14,Givenchy,,,,
Q1 2019,15,Dolce & Gabbana,,,,
Q1 2019,16,Yeezy,,,,
Q1 2019,17,Balmain,,,,
Q1 2019,18,Palm Angels,,,,
Q1 2019,19,Adidas,,,,
Q1 2019,20,Alexander McQueen,,,,
Q2 2019,1,Gucci,,,,
Q2 2019,2,Off-White,,,,
Q2 2019,3,Balenciaga,,,,
Q2 2019,4,Valentino,,,,
Q2 2019,5,Prada,,,,
Q2 2019,6,Versace,,,,
Q2 2019,7,Fendi,,,,
Q2 2019,8,Stone Island,,,,
Q2 2019,9,Nike,,,,
Q2 2019,10,Saint Laurent,,,,
Q2 2019,11,Vetements,,,,
Q2 2019,12,Burberry,,,,
Q2 2019,13,Dolce & Gabbana,,,,
Q2 2019,14,Givenchy,,,,
Q2 2019,15,Palm Angels,,,,
Q2 2019,16,Adidas,,,,
Q2 2019,17,Moncler,,,,
Q2 2019,18,Moschino,,,,
Q2 2019,19,Yeezy,,,,
Q2 2019,20,Balmain,,,,
Q3 2019,1,Off-White,,,,
Q3 2019,2,Balenciaga,,,,
Q3 2019,3,Gucci,,,,
Q3 2019,4,Versace,,,,
Q3 2019,5,Prada,,,,
Q3 2019,6,Valentino,,,,
Q3 2019,7,Fendi,,,,
Q3 2019,8,Burberry,,,,
Q3 2019,9,Saint Laurent,,,,
Q3 2019,10,Vetements,,,,
Q3 2019,11,Stone Island,,,,
Q3 2019,12,Nike,,,,
Q3 2019,13,Givenchy,,,,
Q3 2019,14,Moncler,,,,
Q3 2019,15,Dolce & Gabbana,,,,
Q3 2019,16,Bottega Veneta,,,,
Q3 2019,17,Alexander McQueen,,,,
Q3 2019,18,Moschino,,,,
Q3 2019,19,Balmain,,,,
Q3 2019,20,Loewe,,,,
Q4 2019,1,Off-White,,,,
Q4 2019,2,Gucci,,,,
Q4 2019,3,Balenciaga,,,,
Q4 2019,4,Moncler,,,,
Q4 2019,5,Versace,,,,
Q4 2019,6,Fendi,,,,
Q4 2019,7,Prada,,,,
Q4 2019,8,Valentino,,,,
Q4 2019,9,Saint Laurent,,,,
Q4 2019,10,Burberry,,,,
Q4 2019,11,Stone Island,,,,
Q4 2019,12,Nike,,,,
Q4 2019,13,Givenchy,,,,
Q4 2019,14,Bottega Veneta,,,,
Q4 2019,15,Vetements,,,,
Q4 2019,16,Yeezy,,,,
Q4 2019,17,Acne Studios,,,,
Q4 2019,18,Canada Goose,,,,
Q4 2019,19,Dr Martens,,,,
Q4 2019,20,Loewe,,,,
Q1 2020,1,Off-White,,,,
Q1 2020,2,Balenciaga,,,,
Q1 2020,3,Nike,,,,
Q1 2020,4,Gucci,,,,
Q1 2020,5,Prada,,,,
Q1 2020,6,Moncler,,,,
Q1 2020,7,Fendi,,,,
Q1 2020,8,Valentino,,,,
Q1 2020,9,Saint Laurent,,,,
Q1 2020,10,Versace,,,,
Q1 2020,11,Burberry,,,,
Q1 2020,12,Stone Island,,,,
Q1 2020,13,Bottega Veneta,,,,
Q1 2020,14,Givenchy,,,,
Q1 2020,15,Jacquemus,,,,
Q1 2020,16,Vetements,,,,
Q1 2020,17,Raf Simons,,,,
Q1 2020,18,Loewe,,,,
Q1 2020,19,Thom Browne,,,,
Q1 2020,20,Rick Owens,,,,
Q2 2020,1,Nike,,,,
Q2 2020,2,Off-White,,,,
Q2 2020,3,Gucci,,,,
Q2 2020,4,Balenciaga,,,,
Q2 2020,5,Prada,,,,
Q2 2020,6,Saint Laurent,,,,
Q2 2020,7,Versace,,,,
Q2 2020,8,Burberry,,,,
Q2 2020,9,Fendi,,,,
Q2 2020,10,Bottega Veneta,,,,
Q2 2020,11,Jacquemus,,,,
Q2 2020,12,Valentino,,,,
Q2 2020,13,Adidas,,,,
Q2 2020,14,Moncler,,,,
Q2 2020,15,Alexander McQueen,,,,
Q2 2020,16,Loewe,,,,
Q2 2020,17,Balmain,,,,
Q2 2020,18,Vetements,,,,
Q2 2020,19,Stone Island,,,,
Q2 2020,20,Fear of God,,,,
Q3 2020,1,Gucci,,,,
Q3 2020,2,Off-White,,,,
Q3 2020,3,Nike,,,,
Q3 2020,4,Prada,,,,
Q3 2020,5,Balenciaga,,,,
Q3 2020,6,Fendi,,,,
Q3 2020,7,Versace,,,,
Q3 2020,8,Saint Laurent,,,,
Q3 2020,9,Bottega Veneta,,,,
Q3 2020,10,Valentino,,,,
Q3 2020,11,Jacquemus,,,,
Q3 2020,12,Burberry,,,,
Q3 2020,13,Moncler,,,,
Q3 2020,14,Alexander McQueen,,,,
Q3 2020,15,Loewe,,,,
Q3 2020,16,Balmain,,,,
Q3 2020,17,Adidas,,,,
Q3 2020,18,Givenchy,,,,
Q3 2020,19,Fear of God,,,,
Q3 2020,20,Marine Serre,,,,
Q4 2020,1,Gucci,,,,
Q4 2020,2,Balenciaga,,,,
Q4 2020,3,Moncler,,,,
Q4 2020,4,Off-White,,,,
Q4 2020,5,Prada,,,,
Q4 2020,6,Saint Laurent,,,,
Q4 2020,7,Bottega Veneta,,,,
Q4 2020,8,Versace,,,,
Q4 2020,9,Valentino,,,,
Q4 2020,10,Fendi,,,,
Q4 2020,11,Nike,,,,
Q4 2020,12,Burberry,,,,
Q4 2020,13,Jacquemus,,,,
Q4 2020,14,Alexander McQueen,,,,
Q4 2020,15,Loewe,,,,
Q4 2020,16,Balmain,,,,
Q4 2020,17,Givenchy,,,,
Q4 2020,18,Adidas,,,,
Q4 2020,19,Stone Island,,,,
Q4 2020,20,Fear of God,,,,
Q1 2021,1,Gucci,,,,
Q1 2021,2,Nike,,,,
Q1 2021,3,Dior,,,,
Q1 2021,4,Balenciaga,,,,
Q1 2021,5,Moncler,,,,
Q1 2021,6,Prada,,,,
Q1 2021,7,Louis Vuitton,,,,
Q1 2021,8,Bottega Veneta,,,,
Q1 2021,9,Saint Laurent,,,,
Q1 2021,10,Off-White,,,,
Q1 2021,11,Versace,,,,
Q1 2021,12,Burberry,,,,
Q1 2021,13,Fendi,,,,
Q1 2021,14,Valentino,,,,
Q1 2021,15,Alexander McQueen,,,,
Q1 2021,16,Loewe,,,,
Q1 2021,17,Givenchy,,,,
Q1 2021,18,Jacquemus,,,,
Q1 2021,19,Balmain,,,,
Q1 2021,20,Stone Island,,,,
Q2 2021,1,Gucci,,,,
Q2 2021,2,Dior,,,,
Q2 2021,3,Nike,,,,
Q2 2021,4,Louis Vuitton,,,,
Q2 2021,5,Prada,,,,
Q2 2021,6,Balenciaga,,,,
Q2 2021,7,Moncler,,,,
Q2 2021,8,Bottega Veneta,,,,
Q2 2021,9,Saint Laurent,,,,
Q2 2021,10,Versace,,,,
Q2 2021,11,Fendi,,,,
Q2 2021,12,Burberry,,,,
Q2 2021,13,Off-White,,,,
Q2 2021,14,Alexander McQueen,,,,
Q2 2021,15,Valentino,,,,
Q2 2021,16,Loewe,,,,
Q2 2021,17,Givenchy,,,,
Q2 2021,18,Balmain,,,,
Q2 2021,19,Jacquemus,,,,
Q2 2021,20,Rick Owens,,,,
Q3 2021,1,Balenciaga,,,,
Q3 2021,2,Gucci,,,,
Q3 2021,3,Dior,,,,
Q3 2021,4,Prada,,,,
Q3 2021,5,Louis Vuitton,,,,
Q3 2021,6,Nike,,,,
Q3 2021,7,Bottega Veneta,,,,
Q3 2021,8,Versace,,,,
Q3 2021,9,Fendi,,,,
Q3 2021,10,Saint Laurent,,,,
Q3 2021,11,Moncler,,,,
Q3 2021,12,Burberry,,,,
Q3 2021,13,Valentino,,,,
Q3 2021,14,Off-White,,,,
Q3 2021,15,Loewe,,,,
Q3 2021,16,Alexander McQueen,,,,
Q3 2021,17,Givenchy,,,,
Q3 2021,18,Balmain,,,,
Q3 2021,19,Jacquemus,,,,
Q3 2021,20,Dolce & Gabbana,,,,
Q4 2021,1,Balenciaga,,,,
Q4 2021,2,Gucci,,,,
Q4 2021,3,Prada,,,,
Q4 2021,4,Louis Vuitton,,,,
Q4 2021,5,Moncler,,,,
Q4 2021,6,Dior,,,,
Q4 2021,7,Fendi,,,,
Q4 2021,8,Saint Laurent,,,,
Q4 2021,9,Versace,,,,
Q4 2021,10,Bottega Veneta,,,,
Q4 2021,11,Valentino,,,,
Q4 2021,12,Burberry,,,,
Q4 2021,13,Nike,,,,
Q4 2021,14,Loewe,,,,
Q4 2021,15,Alexander McQueen,,,,
Q4 2021,16,Jacquemus,,,,
Q4 2021,17,Balmain,,,,
Q4 2021,18,Dolce & Gabbana,,,,
Q4 2021,19,Givenchy,,,,
Q4 2021,20,Miu Miu,,,,
Q1 2022,1,Balenciaga,Kering,KER.PA,,
Q1 2022,2,Gucci,Kering,KER.PA,,
Q1 2022,3,Louis Vuitton,LVMH,MC.PA,,
Q1 2022,4,Prada,Prada Group,1913.HK,,
Q1 2022,5,Valentino,Kering,KER.PA,,
Q1 2022,6,Dior,LVMH,MC.PA,,
Q1 2022,7,Moncler,Moncler,MONC.MI,,
Q1 2022,8,Bottega Veneta,Kering,KER.PA,,
Q1 2022,9,Fendi,LVMH,MC.PA,,
Q1 2022,10,Miu Miu,Prada Group,1913.HK,,
Q1 2022,11,Off-White,LVMH,MC.PA,,
Q1 2022,12,Burberry,Burberry Group,BRBY.L,,
Q1 2022,13,Loewe,LVMH,MC.PA,,
Q1 2022,14,Versace,Capri Holdings,CPRI,,
Q1 2022,15,Diesel,OTB,Private,,
Q1 2022,16,Rick Owens,Private,,,
Q1 2022,17,Adidas,Adidas,ADS.DE,,
Q1 2022,18,Saint Laurent,Kering,KER.PA,,
Q1 2022,19,Nike,Nike Inc,NKE,,
Q1 2022,20,Alexander McQueen,Kering,KER.PA,,
Q2 2022,1,Gucci,Kering,KER.PA,,+286% searches from adidas collab
Q2 2022,2,Balenciaga,Kering,KER.PA,,
Q2 2022,3,Prada,Prada Group,1913.HK,,
Q2 2022,4,Valentino,Kering,KER.PA,,
Q2 2022,5,Louis Vuitton,LVMH,MC.PA,,
Q2 2022,6,Dior,LVMH,MC.PA,,Seville Cruise collection
Q2 2022,7,Miu Miu,Prada Group,1913.HK,,
Q2 2022,8,Fendi,LVMH,MC.PA,,
Q2 2022,9,Diesel,OTB,Private,,Y2K appeal
Q2 2022,10,Burberry,Burberry Group,BRBY.L,,
Q2 2022,11,Versace,Capri Holdings,CPRI,,
Q2 2022,12,Nike,Nike Inc,NKE,,
Q2 2022,13,Adidas,Adidas,ADS.DE,,
Q2 2022,14,Loewe,LVMH,MC.PA,,
Q2 2022,15,Dolce & Gabbana,Private,,,+114% searches; Kardashian wedding
Q2 2022,16,Saint Laurent,Kering,KER.PA,,
